instances,Frac_Neg_Body,Frac_Pos_Body,Frac_Unary_Rules,Frac_Binary_Rules,Frac_Ternary_Rules,Frac_Integrity_Rules,Tight,Problem_Variables,Free_Problem_Variables,Assigned_Problem_Variables,Constraints,Constraints/Vars,Created_Bodies,Program_Atoms,SCCS,Nodes_in_Positive_BADG,Rules,Normal_Rules,Cardinality_Rules,Choice_Rules,Weight_Rules,Frac_Normal_Rules,Frac_Cardinality_Rules,Frac_Choice_Rules,Frac_Weight_Rules,Equivalences,Atom-Atom_Equivalences,Body-Body_Equivalences,Other_Equivalences,Frac_Atom-Atom_Equivalences,Frac_Body-Body_Equivalences,Frac_Other_Equivalences,Binary_Constraints,Ternary_Constraints,Other_Constraints,Frac_Binary_Constraints,Frac_Ternary_Constraints,Frac_Other_Constraints
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/small/opt/25-treeWeight-91-10leaves.asp.ground,0.0025,0.8607,0.0023,0.0055,0.809,0.0549,1.0,37809.0,35787.0,2022.0,145724.0,3.8542,36640.0,1517.0,0.0,0.0,36813.0,36753.0,40.0,20.0,0.0,0.9984,0.0011,0.0005,0.0,613.0,103.0,20.0,490.0,0.168,0.0326,0.7993,108016.0,29777.0,7931.0,0.7412,0.2043,0.0544
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/small/opt/27-treeWeight-104-10leaves.asp.ground,0.0031,0.8307,0.0028,0.0044,0.7695,0.0676,1.0,30871.0,28849.0,2022.0,118224.0,3.8296,29773.0,1413.0,0.0,0.0,29910.0,29850.0,40.0,20.0,0.0,0.998,0.0013,0.0007,0.0,547.0,103.0,20.0,424.0,0.1883,0.0366,0.7751,87454.0,22994.0,7776.0,0.7397,0.1945,0.0658
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/small/opt/28-treeWeight-76-10leaves.asp.ground,0.0036,0.8557,0.0032,0.0068,0.7826,0.079,1.0,26347.0,24325.0,2022.0,99291.0,3.7686,25445.0,1230.0,0.0,0.0,25605.0,25545.0,40.0,20.0,0.0,0.9977,0.0016,0.0008,0.0,577.0,99.0,20.0,458.0,0.1716,0.0347,0.7938,73045.0,20019.0,6227.0,0.7357,0.2016,0.0627
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/02-treeWeight-882-9leaves.asp.ground,0.0001,0.9824,0.0001,0.0011,0.9804,0.001,1.0,1346735.0,1345437.0,1298.0,5381340.0,3.9958,1339304.0,8593.0,0.0,0.0,1340095.0,1340041.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,2207.0,135.0,18.0,2054.0,0.0612,0.0082,0.9307,4034687.0,1314211.0,32442.0,0.7498,0.2442,0.006
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/06-treeWeight-690-9leaves.asp.ground,0.0001,0.9709,0.0001,0.0015,0.9677,0.0021,1.0,616201.0,614903.0,1298.0,2461155.0,3.9941,611095.0,6027.0,0.0,0.0,611587.0,611533.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1721.0,139.0,18.0,1564.0,0.0808,0.0105,0.9088,1845036.0,591987.0,24132.0,0.7497,0.2405,0.0098
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/07-treeWeight-740-9leaves.asp.ground,0.0001,0.9756,0.0001,0.0013,0.9728,0.0017,1.0,750004.0,748706.0,1298.0,2995589.0,3.9941,744532.0,6391.0,0.0,0.0,745075.0,745021.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1723.0,133.0,18.0,1572.0,0.0772,0.0104,0.9124,2245667.0,724945.0,24977.0,0.7497,0.242,0.0083
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/10-treeWeight-845-9leaves.asp.ground,0.0002,0.9658,0.0002,0.0014,0.9621,0.0028,1.0,464421.0,463123.0,1298.0,1853930.0,3.9919,459855.0,5421.0,0.0,0.0,460222.0,460168.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1591.0,137.0,18.0,1436.0,0.0861,0.0113,0.9026,1389591.0,442889.0,21450.0,0.7495,0.2389,0.0116
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/13-treeWeight-517-9leaves.asp.ground,0.0001,0.9691,0.0001,0.0014,0.9661,0.0019,1.0,699904.0,698606.0,1298.0,2798167.0,3.9979,694306.0,6478.0,0.0,0.0,694831.0,694777.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1636.0,142.0,18.0,1476.0,0.0868,0.011,0.9022,2098345.0,671472.0,28350.0,0.7499,0.24,0.0101
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/14-treeWeight-329-9leaves.asp.ground,0.0003,0.9515,0.0002,0.0021,0.9459,0.0042,1.0,313420.0,312122.0,1298.0,1251920.0,3.9944,309692.0,4414.0,0.0,0.0,310058.0,310004.0,36.0,18.0,0.0,0.9998,0.0001,0.0001,0.0,1253.0,137.0,18.0,1098.0,0.1093,0.0144,0.8763,938582.0,293372.0,19966.0,0.7497,0.2343,0.0159
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/15-treeWeight-787-9leaves.asp.ground,0.0001,0.9797,0.0001,0.0012,0.9774,0.0012,1.0,1057361.0,1056063.0,1298.0,4224354.0,3.9952,1050776.0,7677.0,0.0,0.0,1051472.0,1051418.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,2065.0,137.0,18.0,1910.0,0.0663,0.0087,0.9249,3167075.0,1028004.0,29275.0,0.7497,0.2434,0.0069
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/16-treeWeight-874-9leaves.asp.ground,0.0001,0.9727,0.0001,0.0011,0.9703,0.0016,1.0,808720.0,807422.0,1298.0,3232080.0,3.9965,802521.0,7126.0,0.0,0.0,803005.0,802951.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1738.0,134.0,18.0,1586.0,0.0771,0.0104,0.9125,2423442.0,779359.0,29279.0,0.7498,0.2411,0.0091
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/18-treeWeight-707-9leaves.asp.ground,0.0001,0.977,0.0001,0.0012,0.9746,0.0014,1.0,944745.0,943447.0,1298.0,3775273.0,3.9961,938457.0,7305.0,0.0,0.0,939077.0,939023.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1911.0,141.0,18.0,1752.0,0.0738,0.0094,0.9168,2830610.0,915456.0,29207.0,0.7498,0.2425,0.0077
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/21-treeWeight-894-9leaves.asp.ground,0.0001,0.9699,0.0001,0.0013,0.9669,0.0021,1.0,634537.0,633239.0,1298.0,2534649.0,3.9945,629081.0,6375.0,0.0,0.0,629544.0,629490.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1723.0,133.0,18.0,1572.0,0.0772,0.0104,0.9124,1900194.0,608956.0,25499.0,0.7497,0.2403,0.0101
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/22-treeWeight-629-9leaves.asp.ground,0.0001,0.9707,0.0001,0.0012,0.968,0.0019,1.0,704923.0,703625.0,1298.0,2817130.0,3.9964,699212.0,6474.0,0.0,0.0,699690.0,699636.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1418.0,126.0,18.0,1274.0,0.0889,0.0127,0.8984,2112289.0,677389.0,27452.0,0.7498,0.2405,0.0097
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/23-treeWeight-729-9leaves.asp.ground,0.0001,0.9704,0.0001,0.0011,0.968,0.0016,1.0,794107.0,792809.0,1298.0,3175023.0,3.9982,787896.0,7101.0,0.0,0.0,788383.0,788329.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1655.0,143.0,18.0,1494.0,0.0864,0.0109,0.9027,2380998.0,763346.0,30679.0,0.7499,0.2404,0.0097
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/25-treeWeight-735-9leaves.asp.ground,0.0001,0.9729,0.0001,0.0012,0.9705,0.0016,1.0,815833.0,814535.0,1298.0,3260708.0,3.9968,809698.0,7037.0,0.0,0.0,810213.0,810159.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1684.0,138.0,18.0,1528.0,0.0819,0.0107,0.9074,2444957.0,786489.0,29262.0,0.7498,0.2412,0.009
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/27-treeWeight-752-9leaves.asp.ground,0.0001,0.966,0.0001,0.0012,0.9631,0.0021,1.0,638280.0,636982.0,1298.0,2551389.0,3.9973,632471.0,6605.0,0.0,0.0,632889.0,632835.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1484.0,126.0,18.0,1340.0,0.0849,0.0121,0.903,1913191.0,609756.0,28442.0,0.7499,0.239,0.0111
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/29-treeWeight-524-9leaves.asp.ground,0.0001,0.9678,0.0001,0.0014,0.9647,0.002,1.0,669900.0,668602.0,1298.0,2678207.0,3.9979,664322.0,6446.0,0.0,0.0,664835.0,664781.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1620.0,134.0,18.0,1468.0,0.0827,0.0111,0.9062,2008389.0,641553.0,28265.0,0.7499,0.2395,0.0106
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/hard/30-treeWeight-568-9leaves.asp.ground,0.0001,0.97,0.0001,0.0014,0.9671,0.0018,1.0,722325.0,721027.0,1298.0,2887399.0,3.9974,716581.0,6621.0,0.0,0.0,717120.0,717066.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1632.0,140.0,18.0,1474.0,0.0858,0.011,0.9032,2165156.0,693763.0,28480.0,0.7499,0.2403,0.0099
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/01-treeWeight-801-9leaves.asp.ground,0.0001,0.9794,0.0001,0.0014,0.9768,0.0015,1.0,899795.0,898497.0,1298.0,3593310.0,3.9935,893856.0,6950.0,0.0,0.0,894508.0,894454.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1914.0,126.0,18.0,1770.0,0.0658,0.0094,0.9248,2693597.0,873963.0,25750.0,0.7496,0.2432,0.0072
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/04-treeWeight-631-9leaves.asp.ground,0.0001,0.9711,0.0001,0.0013,0.9684,0.0018,1.0,736902.0,735604.0,1298.0,2945232.0,3.9968,731115.0,6667.0,0.0,0.0,731637.0,731583.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1638.0,140.0,18.0,1480.0,0.0855,0.011,0.9035,2208412.0,708679.0,28141.0,0.7498,0.2406,0.0096
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/05-treeWeight-692-9leaves.asp.ground,0.0001,0.9762,0.0001,0.0013,0.9737,0.0014,1.0,949208.0,947910.0,1298.0,3793530.0,3.9965,942778.0,7440.0,0.0,0.0,943428.0,943374.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1901.0,137.0,18.0,1746.0,0.0721,0.0095,0.9185,2844404.0,918891.0,30235.0,0.7498,0.2422,0.008
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/06-treeWeight-639-9leaves.asp.ground,0.0002,0.9658,0.0001,0.0015,0.9622,0.0025,1.0,523954.0,522656.0,1298.0,2092948.0,3.9945,519057.0,5766.0,0.0,0.0,519498.0,519444.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1617.0,139.0,18.0,1460.0,0.086,0.0111,0.9029,1569076.0,499997.0,23875.0,0.7497,0.2389,0.0114
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/08-treeWeight-604-9leaves.asp.ground,0.0001,0.9657,0.0001,0.0014,0.9626,0.0021,1.0,622978.0,621680.0,1298.0,2490454.0,3.9977,617425.0,6359.0,0.0,0.0,617911.0,617857.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1503.0,127.0,18.0,1358.0,0.0845,0.012,0.9035,1867558.0,595001.0,27895.0,0.7499,0.2389,0.0112
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/09-treeWeight-671-9leaves.asp.ground,0.0001,0.9737,0.0001,0.0013,0.971,0.0016,1.0,792165.0,790867.0,1298.0,3165399.0,3.9959,786240.0,6823.0,0.0,0.0,786789.0,786735.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1682.0,132.0,18.0,1532.0,0.0785,0.0107,0.9108,2373316.0,764189.0,27894.0,0.7498,0.2414,0.0088
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/11-treeWeight-544-9leaves.asp.ground,0.0001,0.9701,0.0001,0.0014,0.9673,0.0018,1.0,723714.0,722416.0,1298.0,2893186.0,3.9977,718048.0,6536.0,0.0,0.0,718579.0,718525.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1625.0,133.0,18.0,1474.0,0.0818,0.0111,0.9071,2169554.0,695208.0,28424.0,0.7499,0.2403,0.0098
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/12-treeWeight-430-9leaves.asp.ground,0.0002,0.9571,0.0002,0.0017,0.953,0.003,1.0,439603.0,438305.0,1298.0,1757280.0,3.9974,434940.0,5418.0,0.0,0.0,435359.0,435305.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1391.0,137.0,18.0,1236.0,0.0985,0.0129,0.8886,1317759.0,415012.0,24509.0,0.7499,0.2362,0.0139
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/13-treeWeight-466-9leaves.asp.ground,0.0001,0.9646,0.0001,0.0015,0.9612,0.0023,1.0,574961.0,573663.0,1298.0,2298543.0,3.9977,569793.0,5995.0,0.0,0.0,570267.0,570213.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1530.0,142.0,18.0,1370.0,0.0928,0.0118,0.8954,1723664.0,548294.0,26585.0,0.7499,0.2385,0.0116
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/16-treeWeight-823-9leaves.asp.ground,0.0001,0.9686,0.0001,0.0011,0.966,0.0019,1.0,703045.0,701747.0,1298.0,2810146.0,3.9971,697050.0,6869.0,0.0,0.0,697483.0,697429.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1632.0,134.0,18.0,1480.0,0.0821,0.011,0.9069,2107183.0,673940.0,29023.0,0.7498,0.2398,0.0103
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/18-treeWeight-656-9leaves.asp.ground,0.0001,0.9737,0.0001,0.0013,0.9712,0.0016,1.0,824894.0,823596.0,1298.0,3296785.0,3.9966,818895.0,6962.0,0.0,0.0,819464.0,819410.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1803.0,141.0,18.0,1644.0,0.0782,0.01,0.9118,2471973.0,796038.0,28774.0,0.7498,0.2415,0.0087
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/22-treeWeight-578-9leaves.asp.ground,0.0001,0.9663,0.0001,0.0013,0.9632,0.0022,1.0,598290.0,596992.0,1298.0,2391315.0,3.9969,592916.0,6086.0,0.0,0.0,593343.0,593289.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1316.0,126.0,18.0,1172.0,0.0957,0.0137,0.8906,1793107.0,571585.0,26623.0,0.7498,0.239,0.0111
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/23-treeWeight-678-9leaves.asp.ground,0.0001,0.9661,0.0001,0.0012,0.9633,0.0019,1.0,681320.0,680022.0,1298.0,2724601.0,3.999,675429.0,6726.0,0.0,0.0,675865.0,675811.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1545.0,143.0,18.0,1384.0,0.0926,0.0117,0.8958,2043363.0,651307.0,29931.0,0.75,0.239,0.011
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/24-treeWeight-447-9leaves.asp.ground,0.0001,0.9701,0.0001,0.0017,0.9665,0.0023,1.0,572293.0,570995.0,1298.0,2285894.0,3.9943,567545.0,5561.0,0.0,0.0,568065.0,568011.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1517.0,127.0,18.0,1372.0,0.0837,0.0119,0.9044,1713683.0,549119.0,23092.0,0.7497,0.2402,0.0101
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/25-treeWeight-684-9leaves.asp.ground,0.0001,0.9688,0.0001,0.0012,0.9661,0.0019,1.0,704610.0,703312.0,1298.0,2816726.0,3.9976,698768.0,6687.0,0.0,0.0,699232.0,699178.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1570.0,138.0,18.0,1414.0,0.0879,0.0115,0.9006,2112198.0,675725.0,28803.0,0.7499,0.2399,0.0102
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/27-treeWeight-701-9leaves.asp.ground,0.0002,0.9603,0.0001,0.0012,0.9571,0.0024,1.0,541693.0,540395.0,1298.0,2165885.0,3.9984,536189.0,6246.0,0.0,0.0,536556.0,536502.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1376.0,126.0,18.0,1232.0,0.0916,0.0131,0.8953,1624274.0,513743.0,27868.0,0.7499,0.2372,0.0129
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/unsat/29-treeWeight-473-9leaves.asp.ground,0.0002,0.9629,0.0001,0.0015,0.9594,0.0024,1.0,546367.0,545069.0,1298.0,2184183.0,3.9976,541225.0,5957.0,0.0,0.0,541687.0,541633.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1514.0,134.0,18.0,1362.0,0.0885,0.0119,0.8996,1637898.0,519848.0,26437.0,0.7499,0.238,0.0121
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/02-treeWeight-1153-9leaves.asp.ground,0.0,0.9886,0.0,0.001,0.9871,0.0006,1.0,2082504.0,2081206.0,1298.0,8320351.0,3.9954,2073989.0,9948.0,0.0,0.0,2075051.0,2074997.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,2749.0,135.0,18.0,2596.0,0.0491,0.0065,0.9443,6237929.0,2048625.0,33797.0,0.7497,0.2462,0.0041
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/03-treeWeight-1554-9leaves.asp.ground,0.0,0.9912,0.0,0.001,0.9897,0.0005,1.0,2475871.0,2474573.0,1298.0,9890048.0,3.9946,2466994.0,10612.0,0.0,0.0,2468298.0,2468244.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,3353.0,135.0,18.0,3200.0,0.0403,0.0054,0.9544,7414259.0,2443179.0,32610.0,0.7497,0.247,0.0033
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/04-treeWeight-1976-9leaves.asp.ground,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/05-treeWeight-1515-9leaves.asp.ground,0.0,0.9921,0.0,0.001,0.9908,0.0004,1.0,2892488.0,2891190.0,1298.0,11555075.0,3.9949,2882976.0,11352.0,0.0,0.0,2884449.0,2884395.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,3561.0,137.0,18.0,3406.0,0.0385,0.0051,0.9565,8662669.0,2858147.0,34259.0,0.7497,0.2473,0.003
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/06-treeWeight-1101-9leaves.asp.ground,0.0001,0.987,0.0001,0.0013,0.9849,0.001,1.0,1369372.0,1368074.0,1298.0,5468009.0,3.9931,1362734.0,7971.0,0.0,0.0,1363637.0,1363583.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,2545.0,139.0,18.0,2388.0,0.0546,0.0071,0.9383,4098719.0,1343220.0,26070.0,0.7496,0.2457,0.0048
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/07-treeWeight-1490-9leaves.asp.ground,0.0,0.9909,0.0,0.0012,0.9891,0.0006,1.0,2011700.0,2010402.0,1298.0,8032939.0,3.9931,2003834.0,9537.0,0.0,0.0,2005127.0,2005073.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,3227.0,133.0,18.0,3076.0,0.0412,0.0056,0.9532,6021321.0,1983499.0,28119.0,0.7496,0.2469,0.0035
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/09-treeWeight-1242-9leaves.asp.ground,0.0,0.9899,0.0,0.001,0.9884,0.0006,1.0,2065052.0,2063754.0,1298.0,8248514.0,3.9943,2056879.0,9650.0,0.0,0.0,2057999.0,2057945.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,2840.0,132.0,18.0,2690.0,0.0465,0.0063,0.9472,6183544.0,2034245.0,30725.0,0.7497,0.2466,0.0037
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/11-treeWeight-1018-9leaves.asp.ground,0.0,0.9881,0.0,0.001,0.9866,0.0007,1.0,1961370.0,1960072.0,1298.0,7836966.0,3.9957,1953306.0,9428.0,0.0,0.0,1954311.0,1954257.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,2613.0,133.0,18.0,2462.0,0.0509,0.0069,0.9422,5875678.0,1928236.0,33052.0,0.7497,0.246,0.0042
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/12-treeWeight-847-9leaves.asp.ground,0.0001,0.9844,0.0001,0.0011,0.9826,0.0009,1.0,1484747.0,1483449.0,1298.0,5932985.0,3.996,1477433.0,8517.0,0.0,0.0,1478269.0,1478215.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,2287.0,137.0,18.0,2132.0,0.0599,0.0079,0.9322,4448320.0,1452827.0,31838.0,0.7498,0.2449,0.0054
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/16-treeWeight-1703-9leaves.asp.ground,0.0,0.9916,0.0,0.001,0.9903,0.0005,1.0,2625627.0,2624329.0,1298.0,10488568.0,3.9947,2616544.0,10840.0,0.0,0.0,2617857.0,2617803.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,3398.0,134.0,18.0,3246.0,0.0394,0.0053,0.9553,7863023.0,2592562.0,32983.0,0.7497,0.2472,0.0031
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/17-treeWeight-1687-9leaves.asp.ground,0.0001,0.9907,0.0,0.0015,0.9885,0.0008,1.0,1616362.0,1615064.0,1298.0,6450912.0,3.991,1609318.0,8707.0,0.0,0.0,1610582.0,1610528.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,3208.0,136.0,18.0,3054.0,0.0424,0.0056,0.952,4834632.0,1592246.0,24034.0,0.7494,0.2468,0.0037
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/18-treeWeight-1528-9leaves.asp.ground,0.0,0.9921,0.0,0.001,0.9907,0.0005,1.0,2760393.0,2759095.0,1298.0,11026404.0,3.9945,2751105.0,11134.0,0.0,0.0,2752546.0,2752492.0,36.0,18.0,0.0,1.0,0.0,0.0,0.0,3569.0,141.0,18.0,3410.0,0.0395,0.005,0.9554,8266093.0,2727293.0,33018.0,0.7497,0.2473,0.003
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/easy/19-treeWeight-1008-9leaves.asp.ground,0.0001,0.9778,0.0001,0.0011,0.9755,0.0014,1.0,937373.0,936075.0,1298.0,3744698.0,3.9949,930982.0,7373.0,0.0,0.0,931559.0,931505.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1859.0,123.0,18.0,1718.0,0.0662,0.0097,0.9242,2807407.0,908954.0,28337.0,0.7497,0.2427,0.0076
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/opt/04-treeWeight-632-9leaves.asp.ground,0.0001,0.9712,0.0001,0.0013,0.9684,0.0018,1.0,739122.0,737824.0,1298.0,2954099.0,3.9968,733329.0,6674.0,0.0,0.0,733852.0,733798.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1640.0,140.0,18.0,1482.0,0.0854,0.011,0.9037,2215059.0,710884.0,28156.0,0.7498,0.2406,0.0095
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/opt/05-treeWeight-693-9leaves.asp.ground,0.0001,0.9762,0.0001,0.0013,0.9738,0.0014,1.0,951707.0,950409.0,1298.0,3803510.0,3.9965,945271.0,7447.0,0.0,0.0,945922.0,945868.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1903.0,137.0,18.0,1748.0,0.072,0.0095,0.9185,2851885.0,921378.0,30247.0,0.7498,0.2422,0.008
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/opt/07-treeWeight-690-9leaves.asp.ground,0.0001,0.972,0.0001,0.0014,0.9689,0.002,1.0,653927.0,652629.0,1298.0,2612031.0,3.9944,648655.0,6141.0,0.0,0.0,649148.0,649094.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1623.0,133.0,18.0,1472.0,0.0819,0.0111,0.907,1958186.0,629118.0,24727.0,0.7497,0.2409,0.0095
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/opt/10-treeWeight-795-9leaves.asp.ground,0.0002,0.9598,0.0002,0.0014,0.9556,0.0033,1.0,394983.0,393685.0,1298.0,1576928.0,3.9924,390617.0,5171.0,0.0,0.0,390934.0,390880.0,36.0,18.0,0.0,0.9999,0.0001,0.0,0.0,1491.0,137.0,18.0,1336.0,0.0919,0.0121,0.896,1182027.0,373701.0,21200.0,0.7496,0.237,0.0134
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/9leaves/opt/11-treeWeight-545-9leaves.asp.ground,0.0001,0.9702,0.0001,0.0014,0.9674,0.0018,1.0,726162.0,724864.0,1298.0,2902971.0,3.9977,720489.0,6544.0,0.0,0.0,721021.0,720967.0,36.0,18.0,0.0,0.9999,0.0,0.0,0.0,1627.0,133.0,18.0,1476.0,0.0817,0.0111,0.9072,2176891.0,697631.0,28449.0,0.7499,0.2403,0.0098
